agent,checkpoint,success,is_json,has_expected_keys,time_s,reward,num_keys,format_valid,content_relevance,completeness,quality_score,delegated_agent
orchestrator,SFT,True,True,True,93.38436889648438,100.0,3,True,0.8181818181818182,1.0,0.9400000000000002,Critic
orchestrator,MAGRPO-E10,True,True,True,266.3291015625,100.0,3,True,0.0,1.0,0.67,CodeWriter
orchestrator,MAGRPO-E15,True,True,True,198.90310096740723,100.0,3,True,0.0,1.0,0.67,CodeWriter
orchestrator,MAGRPO-E20,True,True,True,165.22594141960144,100.0,3,True,0.0,1.0,0.67,CodeWriter
researcher,SFT,True,True,True,18.981621742248535,100.0,2,True,0.18181818181818182,1.0,0.73,
researcher,MAGRPO-E10,True,True,True,230.7430899143219,100.0,6,True,0.09090909090909091,1.0,0.7000000000000001,
researcher,MAGRPO-E15,True,True,True,237.35409903526306,100.0,6,True,0.09090909090909091,1.0,0.7000000000000001,
researcher,MAGRPO-E20,True,True,True,140.7764391899109,100.0,6,True,0.09090909090909091,1.0,0.7000000000000001,
code_writer,SFT,True,True,True,27.60625171661377,100.0,3,True,0.0,1.0,0.67,
code_writer,MAGRPO-E10,True,True,True,390.50406074523926,100.0,2,True,0.15384615384615385,1.0,0.7207692307692308,
code_writer,MAGRPO-E15,True,True,True,350.2866086959839,100.0,2,True,0.15384615384615385,1.0,0.7207692307692308,
code_writer,MAGRPO-E20,True,True,True,392.6339817047119,100.0,2,True,0.15384615384615385,1.0,0.7207692307692308,
critic,SFT,True,True,False,173.68334650993347,40.0,3,True,0.0,0.5,0.5,
critic,MAGRPO-E10,True,True,True,117.37125539779663,100.0,2,True,0.0,1.0,0.67,
critic,MAGRPO-E15,True,True,True,74.83592414855957,100.0,2,True,0.0,1.0,0.67,
critic,MAGRPO-E20,True,True,True,84.45359873771667,100.0,2,True,0.0,1.0,0.67,
